Symbol,Accuracy
BALPHARMA,54.59704880817253
BALRAMCHIN,53.61781076066791
BANARBEADS,59.40099833610649
BANARISUG,57.32838589981447
BANCOINDIA,53.003533568904594
BANDHANBNK,49.65986394557823
BANG,56.38432364096081
BANKA,65.43624161073825
BANKBARODA,51.99628597957289
BANKINDIA,50.60352831940576
BANSWRAS,56.59472422062351
BARBEQUE,54.48275862068965
BASF,54.59610027855153
BASML,54.5353982300885
BATAINDIA,47.8180129990715
BAYERCROP,52.42857142857142
BBL,53.57561547479485
BBOX,53.80333951762524
BBTC,54.73098330241187
BBTCL,63.25757575757576
BCLIND,55.033557046979865
BCONCEPTS,58.74587458745874
BDL,51.36054421768708
BEARDSELL,66.66666666666666
BECTORFOOD,50.943396226415096
BEDMUTHA,56.42965204236005
BEL,47.8180129990715
BEML,52.64623955431755
BEPL,54.27350427350427
BERGEPAINT,55.84415584415584
BESTAGRO,34.48275862068966
BFINVEST,55.401234567901234
BFUTILITIE,54.80769230769232
BGRENERGY,55.13784461152882
BHAGCHEM,57.14285714285714
BHAGERIA,54.7979797979798
BHAGYANGR,59.33147632311978
BHANDARI,64.1025641025641
BHARATFORG,52.118644067796616
BHARATGEAR,54.874651810584965
BHARATRAS,54.73098330241187
BHARATWIRE,58.92857142857143
BHARTIARTL,47.07520891364902
BHEL,51.483050847457626
BIGBLOC,52.83018867924528
BIKAJI,41.53846153846154
BIL,54.45269016697589
BINANIIND,69.40298507462687
BIOCON,49.44162436548224
BIOFILCHEM,57.798165137614674
BIRLACABLE,58.68152274837512
BIRLACORPN,50.0
BIRLAMONEY,56.49432534678437
BLAL,52.27272727272727
BLBLIMITED,58.45004668534081
BLISSGVS,56.25
BLKASHYAP,56.708004509582864
BLS,49.47643979057592
BLSE,60.0
BLUECHIP,77.71587743732591
BLUECOAST,80.3497085761865
BLUEDART,53.01764159702879
BLUEJET,47.05882352941176
BLUESTARCO,50.324976787372336
BODALCHEM,55.663430420711975
BOMDYEING,54.02542372881356
BOROLTD,60.0
BORORENEW,53.14685314685315
BOSCHLTD,50.55658627087198
BPCL,51.34180790960452
BPL,57.84586815227484
BRIGADE,53.75939849624061
BRITANNIA,48.55328158080452
BRNL,58.75
BROOKS,58.34683954619124
BSE,52.991452991453
BSHSL,49.65277777777778
BSL,56.029684601113175
BSOFT,53.52504638218923
BTML,51.21951219512195
BURNPUR,62.531328320802
BUTTERFLY,51.74537987679672
BVCL,57.65877957658779
BYKE,57.07154742096506
CALSOFT,61.50278293135436
CAMLINFINE,54.32372505543237
CAMPUS,53.84615384615385
CAMS,44.11764705882353
CANBK,52.28136882129277
CANFINHOME,52.73909006499535
CANTABIL,56.278366111951584
CAPACITE,49.52978056426332
CAPITALSFB,33.33333333333333
CAPLIPOINT,56.158663883089766
CAPTRUST,56.37393767705382
CARBORUNIV,48.05194805194805
CAREERP,57.250755287009056
CARERATING,52.26039783001808
CARTRADE,57.14285714285714
CARYSIL,55.76923076923077
CASTROLIND,62.03358208955224
CCCL,68.8118811881188
CCHHL,63.25167037861915
CCL,50.97236438075742
CDSL,60.12084592145015
CEATLTD,51.82849936948297
CELEBRITY,57.70089285714286
CELLO,64.70588235294117
CENTENKA,49.920634920634924
CENTEXT,65.5844155844156
CENTRALBK,55.51470588235294
CENTRUM,59.38566552901023
CENTUM,55.4679802955665
CENTURYPLY,50.45146726862303
CERA,49.007444168734494
CEREBRAINT,54.54545454545454
CESC,47.8180129990715
CGCL,55.23520485584219
CGPOWER,48.79406307977737
CHALET,47.410358565737056
CHAMBLFERT,51.71773444753946
CHEMBOND,50.93457943925234
CHEMCON,55.294117647058826
CHEMFAB,50.0
CHEMPLASTS,53.96825396825397
CHENNPETRO,54.41039925719592
CHEVIOT,57.647058823529406
CHOICEIN,61.05263157894737
CHOLAFIN,52.92479108635098
CHOLAHLDNG,49.44341372912802
CIEINDIA,53.49693251533743
CIGNITITEC,54.741379310344826
CINELINE,57.24465558194775
CINEVISTA,60.85343228200371
CIPLA,50.03528581510233
CLEAN,58.01526717557252
CLEDUCATE,57.14285714285714
CLSEL,50.0
CMSINFO,47.22222222222222
COALINDIA,48.48024316109423
COASTCORP,56.66666666666666
COCHINSHIP,53.84615384615385
COFORGE,47.461139896373055
COLPAL,53.61781076066791
COMPUSOFT,60.03372681281619
COMSYN,50.0
CONCOR,48.9322191272052
CONCORDBIO,59.25925925925925
CONFIPET,56.88622754491018
CONSOFINVT,53.24675324675325
CONTROLPR,48.29396325459317
CORALFINAC,61.51603498542274
CORDSCABLE,55.68181818181818
COROMANDEL,53.9179104477612
COSMOFIRST,51.031746031746025
COUNCODOS,62.430426716141
CRAFTSMAN,53.42465753424658
CREATIVE,58.71559633027523
CREATIVEYE,64.06685236768801
CREDITACC,47.44525547445255
CREST,53.41981132075472
CRISIL,49.16512059369202
CROMPTON,50.90439276485789
CROWN,77.97101449275362
CSBBANK,42.9245283018868
CSLFINANCE,54.32098765432099
CTE,59.7864768683274
CUB,50.37105751391465
CUBEXTUB,61.20906801007556
CUMMINSIND,49.86072423398329
CUPID,55.13513513513514
CYBERMEDIA,69.4054054054054
CYBERTECH,55.33890436397401
CYIENT,50.63291139240506
CYIENTDLM,48.48484848484848
DABUR,52.831940575673165
DALBHARAT,47.28682170542636
DALMIASUG,53.94614670380688
DAMODARIND,52.63157894736842
DANGEE,67.4074074074074
DATAMATICS,56.98267074413863
DATAPATTNS,44.95412844036697
DAVANGERE,50.0
DBCORP,49.42857142857143
DBL,54.81283422459893
DBOL,48.64864864864865
DBREALTY,54.689754689754686
DBSTOCKBRO,68.12816188870153
DCAL,53.20447609359105
DCBBANK,51.10851808634772
DCI,70.87378640776699
DCM,52.73909006499535
DCMFINSERV,78.33800186741364
DCMNVL,52.60869565217391
DCMSHRIRAM,50.324976787372336
DCMSRIND,51.37614678899083
DCW,55.71030640668524
DCXINDIA,50.0
DECCANCE,62.68656716417911
DEEPAKFERT,52.18926553672316
DEEPAKNTR,49.7737556561086
DEEPINDS,45.77464788732394
DELHIVERY,52.80898876404494
DELPHIFX,54.63258785942492
DELTACORP,53.2258064516129
DELTAMAGNT,67.6252319109462
DEN,55.74468085106383
DENORA,55.06035283194058
DEVIT,64.22018348623854
DEVYANI,51.181102362204726
DGCONTENT,57.692307692307686
DHAMPURSUG,54.22469823584029
DHANBANK,54.76673427991886
DHANI,57.12799167533819
DHANUKA,50.63897763578274
DHARMAJ,48.38709677419355
DHRUV,50.4424778761062
DHUNINV,59.68750000000001
DIACABS,62.29260935143288
DIAMINESQ,63.63636363636363
DIAMONDYD,55.66037735849056
DICIND,53.57474466109564
DIGIDRIVE,75.0
DIGISPICE,55.14138817480719
DIGJAMLMTD,61.05263157894737
DIL,65.24822695035462
DISHTV,54.14165666266506
DIVGIITTS,53.06122448979592
DIVISLAB,51.34357005758158
DIXON,55.625
DJML,54.83870967741935
DLF,50.66828675577156
DLINKINDIA,53.98860398860399
DMART,51.30434782608696
DMCC,47.78761061946903
DNAMEDIA,65.9090909090909
DODLA,55.970149253731336
DOLATALGO,53.53982300884957
DOLLAR,50.0
DOLPHIN,62.51455180442375
DOMS,36.36363636363637
DONEAR,57.59717314487632
DPABHUSHAN,60.0
DPSCLTD,53.63984674329502
DPWIRES,62.77602523659306
DRCSYSTEMS,56.75675675675676
DREAMFOLKS,60.0
DREDGECORP,52.55767301905717
DRREDDY,48.30508474576271
DSSL,63.03258145363409
DTIL,52.99334811529933
DUCON,59.50266429840142
DVL,53.517587939698494
DWARKESH,57.12777191129885
DYCL,61.25000000000001
DYNAMATECH,58.816705336426914
DYNPRO,59.7560975609756
E2E,62.4561403508772
EASEMYTRIP,57.82312925170068
ECLERX,52.75689223057645
EDELWEISS,54.37499999999999
EICHERMOT,50.706214689265536
EIDPARRY,51.66975881261595
EIFFL,51.60349854227405
EIHAHOTELS,55.03184713375797
EIHOTEL,53.56386732533521
EIMCOELECO,55.06035283194058
EKC,54.17130144605117
ELDEHSG,48.93617021276596
ELECON,51.27906976744187
ELECTCAST,53.38904363974002
ELECTHERM,57.475490196078425
ELGIEQUIP,55.15320334261838
ELGIRUBCO,57.769423558897245
ELIN,57.6271186440678
EMAMILTD,51.728110599078335
EMAMIPAP,53.01724137931034
EMIL,50.72463768115942
EMKAY,52.60770975056689
EMMBI,56.27705627705628
EMSLIMITED,47.82608695652174
EMUDHRA,61.36363636363637
ENDURANCE,47.12328767123288
ENERGYDEV,54.83870967741935
ENGINERSIN,56.47590361445784
ENIL,53.42312008978676
ENTERO,33.33333333333333
EPACK,33.33333333333333
EPIGRAL,48.0
EPL,52.78293135435993
EQUIPPP,71.13772455089821
EQUITASBNK,53.6144578313253
ERIS,53.17220543806647
ESABINDIA,54.038997214484674
ESAFSFB,50.0
ESCORTS,52.33050847457628
ESSARSHPNG,60.0328947368421
ESSENTIA,79.23076923076923
ESTER,54.70494417862839
ETHOSLTD,51.13636363636363
EUROTEXIND,62.55835667600373
EVEREADY,55.1948051948052
EVERESTIND,51.298701298701296
EXCEL,62.96809986130375
EXCELINDUS,58.16326530612245
EXCELINDUS,58.16326530612245
EXCELINDUS,58.16326530612245
EXIDEIND,49.44341372912802
EXPLEOSOL,65.30324400564174
EXXARO,59.84251968503938
FACT,59.51717734447539
FAIRCHEMOR,49.685534591194966
FAZE3Q,61.53846153846154
FCL,57.743362831858406
FCSSOFT,71.2403951701427
FDC,52.50463821892394
FEDERALBNK,51.799576570218775
FEDFINA,50.0
FEL,54.26716141001855
FELDVR,54.0
FIBERWEB,56.86274509803921
FIEMIND,52.85880980163361
FILATEX,57.69854132901134
FINCABLES,52.04081632653062
FINEORG,53.38078291814946
FINOPB,46.95652173913044
FINPIPE,53.66759517177344
FIVESTAR,45.3125
FLAIR,46.15384615384615
FLEXITUFF,52.700490998363335
FLFL,53.398058252427184
FLUOROCHEM,45.87155963302752
FMGOETZE,54.59610027855153
FMNL,59.23076923076923
FOCUS,68.19571865443424
FOODSIN,47.82608695652174
FORCEMOT,51.37614678899083
FORTIS,53.309265944645
FOSECOIND,50.41782729805014
FSL,58.73959571938169
FUSION,60.0
GABRIEL,53.54077253218884
GAEL,54.17439703153989
GAIL,53.21983715766099
GALAXYSURF,54.0
GALLANTT,55.70621468926553
GANDHAR,57.14285714285714
GANDHITUBE,52.25118483412322
GANECOS,53.25842696629214
GANESHBE,52.84552845528455
GANESHHOUC,51.90476190476191
GANGAFORGE,62.093862815884485
GANGESSECU,51.681957186544345
GARFIBRES,61.66044776119403
GATECH,66.66666666666666
GATECHDVR,45.16129032258064
GATEWAY,52.57731958762887
GAYAPROJ,59.385113268608414
GEECEE,55.58139534883721
GEEKAYWIRE,65.3250773993808
GENCON,56.95364238410596
GENESYS,54.86641221374045
GENSOL,58.82352941176471
GENUSPAPER,59.73154362416108
GENUSPOWER,53.528773072747015
GEOJITFSL,54.77223427331887
GEPIL,51.62488393686166
GESHIP,49.721706864564005
GFLLIMITED,55.009276437847866
GHCL,53.88418079096046
GHCLTEXTIL,43.24324324324324
GICHSGFIN,53.41269841269841
GICRE,51.11111111111111
GILLANDERS,56.47226173541963
GILLETTE,52.831940575673165
GINNIFILA,60.204081632653065
GIPCL,53.57474466109564
GKWLIMITED,58.070500927643785
GLAND,56.44171779141104
GLAXO,53.48189415041783
GLENMARK,51.94805194805194
GLFL,72.51624883936861
GLOBAL,60.57971014492753
GLOBALVECT,57.526254375729295
GLOBE,79.56989247311827
GLOBUSSPR,51.472650771388494
GLS,52.34375
GMBREW,55.38033395176253
GMDCLTD,51.02040816326531
GMMPFAUDLR,46.8013468013468
GMRAIRPORT,50.57736720554272
GMRP&UI,44.329896907216494
GNA,48.91304347826087
GNFC,52.92479108635098
GOACARBON,54.17170495767836
GOCLCORP,57.01863354037268
GOCOLORS,51.32743362831859
GODFRYPHLP,53.21683876092137
GODHA,65.73426573426573
GODREJAGRO,51.89873417721519
GODREJCP,49.35064935064935
GODREJIND,51.48423005565863
GODREJPROP,47.14285714285714
GOKEX,56.9280343716434
GOKUL,53.024453024453024
GOKULAGRO,51.13924050632911
GOLDENTOBC,61.09563602599815
GOLDIAM,53.39168490153173
GOLDTECH,59.33147632311978
GOODLUCK,52.83018867924528
GOYALALUM,60.60606060606061
GPIL,51.92743764172335
GPPL,53.9039039039039
GPTHEALTH,100.0
GPTINFRA,48.02110817941953
GRANULES,50.21645021645021
GRAPHITE,53.06122448979592
GRASIM,49.48932219127205
GRAVITA,54.94672754946728
GREAVESCOT,56.90298507462687
GREENLAM,50.22421524663677
GREENPANEL,47.92626728110599
GREENPLY,56.63881151346333
GREENPOWER,62.2356495468278
GRINDWELL,51.33256083429896
GRINFRA,55.72519083969466
GRMOVER,56.75675675675676
GROBTEA,57.407407407407405
GRPLTD,50.66964285714286
GRSE,49.24812030075188
GRWRHITECH,42.30769230769231
GSFC,52.61299435028248
GSLSU,68.08510638297872
GSPL,49.94388327721661
GSS,57.54119138149556
GTECJAINX,43.47826086956522
GTL,58.21727019498607
GTLINFRA,61.43790849673203
GTPL,56.060606060606055
GUFICBIO,54.90605427974948
GUJALKALI,51.74603174603176
GUJAPOLLO,54.65538089480049
GUJGASLTD,47.368421052631575
GUJRAFFIA,56.92307692307692
GULFOILLUB,51.68776371308017
GULFPETRO,58.6888657648283
GULPOLY,55.77777777777778
GVKPIL,58.53932584269664
GVPTECH,79.13043478260869
GVT&D,66.7910447761194
HAL,43.53741496598639
HAPPSTMNDS,54.65116279069767
HAPPYFORGE,50.0
HARDWYN,56.38297872340425
HARIOMPIPE,50.0
HARRMALAYA,54.874651810584965
HARSHA,50.0
HATHWAY,57.57575757575758
HATSUN,54.69728601252609
HAVELLS,52.13358070500927
HAVISHA,67.12328767123287
HBSL,62.152133580705005
HCC,53.63443895553988
HCG,50.0
HCL-INSYS,65.54621848739495
HCLTECH,51.11940298507462
HDFCAMC,47.82608695652174
HDFCBANK,49.7529992942837
HDFCLIFE,47.756410256410255
HDIL,55.1219512195122
HEADSUP,54.46927374301676
HECPROJECT,77.61627906976744
HEG,52.831940575673165
HEIDELBERG,53.10734463276836
HEMIPROP,50.898203592814376
HERANBA,58.38926174496645
HERCULES,54.9936788874842
HERITGFOOD,52.73909006499535
HEROMOTOCO,48.653667595171775
HESTERBIO,55.63063063063063
HEUBACHIND,52.96846011131725
HEXATRADEX,53.07167235494881
HFCL,55.92903828197946
HGINFRA,51.68918918918919
HGS,51.91409897292251
HIKAL,56.029684601113175
HIL,55.610444601270295
HILTON,55.97104945717732
HIMATSEIDE,53.2033426183844
HINDALCO,50.67043048694425
HINDCOMPOS,58.90538033395176
HINDCON,62.16216216216216
HINDCOPPER,55.42857142857143
HINDMOTORS,62.18487394957983
HINDNATGLS,61.54891304347826
HINDOILEXP,54.59039548022599
HINDPETRO,53.17796610169492
HINDUNILVR,48.270995059985886
HINDWAREAP,50.717703349282296
HINDZINC,58.2089552238806
HIRECT,56.95754716981132
HISARMETAL,52.394366197183096
HITECH,50.88161209068011
HITECHCORP,57.07133917396746
HITECHGEAR,53.779069767441854
HLEGLAS,56.29139072847682
HLVLTD,56.30797773654916
HMAAGRO,66.66666666666666
HMT,57.28876508820798
HMVL,56.16641901931649
HNDFDS,54.83870967741935
HOMEFIRST,45.751633986928105
HONASA,70.58823529411765
HONAUT,51.76252319109462
